sex,age,level_education,country,year,value_unemployment,value_education,valor_educacion,indice_educativo
Females,15-29,ESO,Austria,2014,15.7,27.9,1,2.84
Females,15-29,ESO,Austria,2015,15.3,27.5,1,2.89
Females,15-29,ESO,Austria,2016,17.1,27.3,1,2.91
Females,15-29,ESO,Austria,2017,16.8,27.2,1,2.92
Females,15-29,ESO,Austria,2018,13.4,27.1,1,2.92
Females,15-29,ESO,Austria,2019,12.7,26.8,1,2.93
Females,15-29,ESO,Austria,2020,14.5,26.8,1,2.92
Females,15-29,ESO,Austria,2021,18.0,27.7,1,2.94
Females,15-29,ESO,Austria,2022,16.9,27.8,1,2.9
Females,15-29,ESO,Austria,2023,17.2,28.1,1,2.94
Females,15-29,BACH-FP,Austria,2014,7.3,46.3,3,2.84
Females,15-29,BACH-FP,Austria,2015,7.1,43.6,3,2.89
Females,15-29,BACH-FP,Austria,2016,7.4,43.2,3,2.91
Females,15-29,BACH-FP,Austria,2017,6.2,43.4,3,2.92
Females,15-29,BACH-FP,Austria,2018,6.7,43.5,3,2.92
Females,15-29,BACH-FP,Austria,2019,5.9,43.4,3,2.93
Females,15-29,BACH-FP,Austria,2020,7.5,44.0,3,2.92
Females,15-29,BACH-FP,Austria,2021,9.1,41.6,3,2.94
Females,15-29,BACH-FP,Austria,2022,6.2,43.1,3,2.9
Females,15-29,BACH-FP,Austria,2023,7.0,41.8,3,2.94
Females,15-29,BACH,Austria,2014,8.3,13.6,4,2.84
Females,15-29,BACH,Austria,2015,8.9,12.7,4,2.89
Females,15-29,BACH,Austria,2016,10.0,13.0,4,2.91
Females,15-29,BACH,Austria,2017,8.2,13.6,4,2.92
Females,15-29,BACH,Austria,2018,7.1,13.9,4,2.92
Females,15-29,BACH,Austria,2019,7.4,13.9,4,2.93
Females,15-29,BACH,Austria,2020,8.1,13.8,4,2.92
Females,15-29,BACH,Austria,2021,10.7,13.9,4,2.94
Females,15-29,BACH,Austria,2022,6.9,13.1,4,2.9
Females,15-29,BACH,Austria,2023,9.8,14.3,4,2.94
Females,15-29,FP,Austria,2014,7.1,32.6,2,2.84
Females,15-29,FP,Austria,2015,6.7,30.9,2,2.89
Females,15-29,FP,Austria,2016,6.7,30.2,2,2.91
Females,15-29,FP,Austria,2017,5.6,29.8,2,2.92
Females,15-29,FP,Austria,2018,6.5,29.6,2,2.92
Females,15-29,FP,Austria,2019,5.4,29.5,2,2.93
Females,15-29,FP,Austria,2020,7.4,30.2,2,2.92
Females,15-29,FP,Austria,2021,8.5,27.8,2,2.94
Females,15-29,FP,Austria,2022,6.0,30.1,2,2.9
Females,15-29,FP,Austria,2023,5.9,27.5,2,2.94
Females,15-29,UNIVERSIDAD,Austria,2014,6.2,25.8,5,2.84
Females,15-29,UNIVERSIDAD,Austria,2015,5.0,28.9,5,2.89
Females,15-29,UNIVERSIDAD,Austria,2016,4.5,29.5,5,2.91
Females,15-29,UNIVERSIDAD,Austria,2017,4.1,29.4,5,2.92
Females,15-29,UNIVERSIDAD,Austria,2018,5.2,29.4,5,2.92
Females,15-29,UNIVERSIDAD,Austria,2019,4.7,29.7,5,2.93
Females,15-29,UNIVERSIDAD,Austria,2020,5.2,29.2,5,2.92
Females,15-29,UNIVERSIDAD,Austria,2021,5.2,30.7,5,2.94
Females,15-29,UNIVERSIDAD,Austria,2022,4.5,29.0,5,2.9
Females,15-29,UNIVERSIDAD,Austria,2023,5.6,30.1,5,2.94
Males,15-29,ESO,Austria,2014,15.0,30.7,1,2.68
Males,15-29,ESO,Austria,2015,14.5,29.7,1,2.68
Males,15-29,ESO,Austria,2016,17.9,30.5,1,2.68
Males,15-29,ESO,Austria,2017,17.7,31.8,1,2.69
Males,15-29,ESO,Austria,2018,15.6,31.4,1,2.69
Males,15-29,ESO,Austria,2019,13.7,31.4,1,2.7
Males,15-29,ESO,Austria,2020,16.3,32.4,1,2.68
Males,15-29,ESO,Austria,2021,14.9,31.9,1,2.69
Males,15-29,ESO,Austria,2022,13.4,32.6,1,2.69
Males,15-29,ESO,Austria,2023,14.4,32.6,1,2.72
Males,15-29,BACH-FP,Austria,2014,8.3,49.0,3,2.68
Males,15-29,BACH-FP,Austria,2015,8.6,50.0,3,2.68
Males,15-29,BACH-FP,Austria,2016,9.3,48.3,3,2.68
Males,15-29,BACH-FP,Austria,2017,7.8,46.9,3,2.69
Males,15-29,BACH-FP,Austria,2018,5.9,46.6,3,2.69
Males,15-29,BACH-FP,Austria,2019,5.5,45.9,3,2.7
